tourney;round;winner;loser;winnersets;losersets
indian-wells;1st Round Qualifying;Santiago Giraldo;Michael Mmoh;2;0
indian-wells;1st Round Qualifying;Peter Gojowczyk;Ernesto Escobedo;2;0
indian-wells;1st Round Qualifying;Dusan Lajovic;Ivan Dodig;2;1
indian-wells;1st Round Qualifying;Illya Marchenko;Teymuraz Gabashvili;2;1
indian-wells;1st Round Qualifying;Federico Gaio;Sergiy Stakhovsky;2;0
indian-wells;1st Round Qualifying;Marius Copil;Lukas Rosol;2;0
indian-wells;1st Round Qualifying;Norbert Gombos;Ruben Bemelmans;2;1
indian-wells;1st Round Qualifying;Julien Benneteau;Sam Groth;2;0
indian-wells;1st Round Qualifying;Marco Trungelliti;Jozef Kovalik;2;0
indian-wells;1st Round Qualifying;Henri Laaksonen;Tim Smyczek;2;0
indian-wells;1st Round Qualifying;Elias Ymer;Peter Polansky;2;0
indian-wells;1st Round Qualifying;Vasek Pospisil;Mitchell Krueger;2;0
indian-wells;1st Round Qualifying;Denis Kudla;Marton Fucsovics;2;0
indian-wells;1st Round Qualifying;Darian King;Noah Rubin;2;0
indian-wells;1st Round Qualifying;Tobias Kamke;Benjamin Becker;2;1
indian-wells;1st Round Qualifying;Andrew Whittington;Andrey Rublev;2;0
indian-wells;1st Round Qualifying;Alexander Bublik;Ernests Gulbis;2;0
indian-wells;1st Round Qualifying;Alex de Minaur;Go Soeda;2;1
miami;Finals;Roger Federer;Rafael Nadal;2;0
miami;Semi-Finals;Roger Federer;Nick Kyrgios;2;1
miami;Semi-Finals;Rafael Nadal;Fabio Fognini;2;0
miami;Quarter-Finals;Fabio Fognini;Kei Nishikori;2;0
miami;Quarter-Finals;Roger Federer;Tomas Berdych;2;1
miami;Quarter-Finals;Rafael Nadal;Jack Sock;2;0
miami;Quarter-Finals;Nick Kyrgios;Alexander Zverev;2;1
miami;Round of 16;Alexander Zverev;Stan Wawrinka;2;1
miami;Round of 16;Kei Nishikori;Federico Delbonis;2;1
miami;Round of 16;Roger Federer;Roberto Bautista Agut;2;0
miami;Round of 16;Rafael Nadal;Nicolas Mahut;2;0
miami;Round of 16;Nick Kyrgios;David Goffin;2;0
miami;Round of 16;Tomas Berdych;Adrian Mannarino;2;0
miami;Round of 16;Jack Sock;Jared Donaldson;2;0
miami;Round of 16;Fabio Fognini;Donald Young;2;0
miami;Round of 32;Stan Wawrinka;Malek Jaziri;2;0
miami;Round of 32;Kei Nishikori;Fernando Verdasco;2;1
miami;Round of 32;Jared Donaldson;Milos Raonic;0;0
miami;Round of 32;Roger Federer;Juan Martin del Potro;2;0
miami;Round of 32;Rafael Nadal;Philipp Kohlschreiber;2;1
miami;Round of 32;David Goffin;Diego Schwartzman;2;1
miami;Round of 32;Tomas Berdych;Gilles Muller;2;0
miami;Round of 32;Nick Kyrgios;Ivo Karlovic;2;1
miami;Round of 32;Jack Sock;Jiri Vesely;2;0
miami;Round of 32;Roberto Bautista Agut;Sam Querrey;2;1
miami;Round of 32;Alexander Zverev;John Isner;2;1
miami;Round of 32;Federico Delbonis;Jan-Lennard Struff;2;0
miami;Round of 32;Fabio Fognini;Jeremy Chardy;2;1
miami;Round of 32;Nicolas Mahut;Guido Pella;2;0
miami;Round of 32;Adrian Mannarino;Borna Coric;2;1
miami;Round of 32;Donald Young;Benoit Paire;2;0
miami;Round of 64;Stan Wawrinka;Horacio Zeballos;2;0
miami;Round of 64;Kei Nishikori;Kevin Anderson;2;0
miami;Round of 64;Milos Raonic;Viktor Troicki;2;0
miami;Round of 64;Roger Federer;Frances Tiafoe;2;0
miami;Round of 64;Rafael Nadal;Dudi Sela;2;0
miami;Round of 64;Borna Coric;Dominic Thiem;2;0
miami;Round of 64;Jeremy Chardy;Marin Cilic;2;1
miami;Round of 64;David Goffin;Darian King;2;0
miami;Round of 64;Guido Pella;Grigor Dimitrov;2;0
miami;Round of 64;Tomas Berdych;Andrey Rublev;2;0
miami;Round of 64;Donald Young;Lucas Pouille;2;0
miami;Round of 64;Nick Kyrgios;Damir Dzumhur;2;0
miami;Round of 64;Jack Sock;Yoshihito Nishioka;0;1
miami;Round of 64;Roberto Bautista Agut;Mikhail Kukushkin;2;0
miami;Round of 64;Federico Delbonis;Pablo Carreno Busta;2;1
miami;Round of 64;Alexander Zverev;Yen-Hsun Lu;2;0
miami;Round of 64;Ivo Karlovic;Andrey Kuznetsov;2;0
miami;Round of 64;John Isner;Thomaz Bellucci;2;0
miami;Round of 64;Jiri Vesely;Albert Ramos-Vinolas;2;1
miami;Round of 64;Jan-Lennard Struff;Gilles Simon;2;0
miami;Round of 64;Benoit Paire;Pablo Cuevas;2;0
miami;Round of 64;Sam Querrey;Tommy Robredo;2;0
miami;Round of 64;Nicolas Mahut;Steve Johnson;2;1
miami;Round of 64;Gilles Muller;Andreas Seppi;2;0
miami;Round of 64;Fernando Verdasco;Ernesto Escobedo;2;0
miami;Round of 64;Philipp Kohlschreiber;Taylor Fritz;2;1
miami;Round of 64;Diego Schwartzman;David Ferrer;2;0
miami;Round of 64;Jared Donaldson;Mischa Zverev;2;0
miami;Round of 64;Juan Martin del Potro;Robin Haase;2;0
miami;Round of 64;Fabio Fognini;Joao Sousa;2;1
miami;Round of 64;Malek Jaziri;Feliciano Lopez;2;1
miami;Round of 64;Adrian Mannarino;Paolo Lorenzi;2;1
miami;Round of 128;Kevin Anderson;Dusan Lajovic;2;0
miami;Round of 128;Thomaz Bellucci;Stephane Robert;2;0
miami;Round of 128;Jeremy Chardy;Facundo Bagnis;2;0
miami;Round of 128;Borna Coric;Marcel Granollers;2;1
miami;Round of 128;Federico Delbonis;Juan Monaco;2;0
miami;Round of 128;Jared Donaldson;Kyle Edmund;2;1
miami;Round of 128;Damir Dzumhur;Hyeon Chung;2;1
miami;Round of 128;Ernesto Escobedo;Daniel Evans;2;1
miami;Round of 128;Fabio Fognini;Ryan Harrison;2;0
miami;Round of 128;Taylor Fritz;Adam Pavlasek;2;0
miami;Round of 128;Robin Haase;Mikael Ymer;2;0
miami;Round of 128;Malek Jaziri;Alexandr Dolgopolov;1;0
miami;Round of 128;Darian King;Lukas Lacko;2;0
miami;Round of 128;Mikhail Kukushkin;Mikhail Youzhny;2;0
miami;Round of 128;Andrey Kuznetsov;Denis Istomin;2;0
miami;Round of 128;Yen-Hsun Lu;Casper Ruud;2;0
miami;Round of 128;Nicolas Mahut;Michael Mmoh;2;0
miami;Round of 128;Adrian Mannarino;Benjamin Becker;2;0
miami;Round of 128;Yoshihito Nishioka;Jordan Thompson;2;1
miami;Round of 128;Benoit Paire;Martin Klizan;2;0
miami;Round of 128;Guido Pella;Tim Smyczek;2;1
miami;Round of 128;Tommy Robredo;Nikoloz Basilashvili;2;1
miami;Round of 128;Andrey Rublev;Florian Mayer;2;0
miami;Round of 128;Diego Schwartzman;Karen Khachanov;2;1
miami;Round of 128;Dudi Sela;Christian Harrison;2;0
miami;Round of 128;Andreas Seppi;Radu Albot;2;0
miami;Round of 128;Jan-Lennard Struff;Aljaz Bedene;2;0
miami;Round of 128;Frances Tiafoe;Konstantin Kravchuk;2;1
miami;Round of 128;Viktor Troicki;Thiago Monteiro;2;1
miami;Round of 128;Jiri Vesely;Tommy Haas;2;1
miami;Round of 128;Donald Young;Dustin Brown;2;1
miami;Round of 128;Horacio Zeballos;Gastao Elias;2;1
miami;2nd Round Qualifying;Benjamin Becker;Mikhail Youzhny;2;1
miami;2nd Round Qualifying;Christian Harrison;Rogerio Dutra Silva;2;0
miami;2nd Round Qualifying;Frances Tiafoe;Mathias Bourgue;2;1
miami;2nd Round Qualifying;Radu Albot;Sergiy Stakhovsky;2;1
miami;2nd Round Qualifying;Ernesto Escobedo;Renzo Olivo;2;0
miami;2nd Round Qualifying;Mikhail Kukushkin;Norbert Gombos;2;0
miami;2nd Round Qualifying;Jared Donaldson;Stefan Kozlov;2;0
miami;2nd Round Qualifying;Dusan Lajovic;Nicolas Kicker;2;0
miami;2nd Round Qualifying;Lukas Lacko;Miomir Kecmanovic;2;0
miami;2nd Round Qualifying;Aljaz Bedene;Tobias Kamke;2;0
miami;2nd Round Qualifying;Darian King;Reilly Opelka;0;0
miami;2nd Round Qualifying;Tim Smyczek;Ruben Bemelmans;2;0
miami;1st Round Qualifying;Tobias Kamke;Pierre-Hugues Herbert;2;1
miami;1st Round Qualifying;Mikhail Youzhny;Vincent Millot;2;1
miami;1st Round Qualifying;Rogerio Dutra Silva;Lukas Rosol;2;1
miami;1st Round Qualifying;Frances Tiafoe;Teymuraz Gabashvili;2;0
miami;1st Round Qualifying;Radu Albot;Elias Ymer;2;0
miami;1st Round Qualifying;Renzo Olivo;Alexander Bublik;2;1
miami;1st Round Qualifying;Mikhail Kukushkin;Peter Gojowczyk;1;0
miami;1st Round Qualifying;Jared Donaldson;Yibing Wu;2;0
miami;1st Round Qualifying;Nicolas Kicker;Andrew Whittington;2;0
miami;1st Round Qualifying;Lukas Lacko;Vasil Kirkov;2;1
miami;1st Round Qualifying;Tim Smyczek;Santiago Giraldo;2;0
miami;1st Round Qualifying;Ernesto Escobedo;Denis Kudla;2;0
miami;1st Round Qualifying;Aljaz Bedene;Federico Gaio;2;0
miami;1st Round Qualifying;Dusan Lajovic;Grega Zemlja;1;0
miami;1st Round Qualifying;Sergiy Stakhovsky;Ernests Gulbis;2;1
miami;1st Round Qualifying;Reilly Opelka;Marius Copil;2;0
miami;1st Round Qualifying;Mathias Bourgue;Bjorn Fratangelo;2;0
miami;1st Round Qualifying;Norbert Gombos;Quentin Halys;2;1
miami;1st Round Qualifying;Stefan Kozlov;Nicola Kuhn;2;1
miami;1st Round Qualifying;Ruben Bemelmans;Jozef Kovalik;2;1
miami;1st Round Qualifying;Miomir Kecmanovic;Henri Laaksonen;2;0
miami;1st Round Qualifying;Christian Harrison;Peter Polansky;2;0
miami;1st Round Qualifying;Benjamin Becker;Joao Souza;2;1
miami;1st Round Qualifying;Darian King;Ivan Dodig;2;1
houston;Finals;Steve Johnson;Thomaz Bellucci;2;1
houston;Semi-Finals;Steve Johnson;Jack Sock;2;1
houston;Semi-Finals;Thomaz Bellucci;Ernesto Escobedo;2;1
houston;Quarter-Finals;Jack Sock;Feliciano Lopez;2;1
houston;Quarter-Finals;Ernesto Escobedo;John Isner;2;1
houston;Quarter-Finals;Thomaz Bellucci;Sam Querrey;2;1
houston;Quarter-Finals;Steve Johnson;Fernando Verdasco;2;0
houston;Round of 16;Jack Sock;Tommy Haas;2;1
houston;Round of 16;John Isner;Leonardo Mayer;2;1
houston;Round of 16;Sam Querrey;Horacio Zeballos;2;0
houston;Round of 16;Steve Johnson;Dustin Brown;2;0
houston;Round of 16;Fernando Verdasco;Nicolas Kicker;2;0
houston;Round of 16;Feliciano Lopez;Hyeon Chung;2;1
houston;Round of 16;Thomaz Bellucci;Maximo Gonzalez;2;1
houston;Round of 16;Ernesto Escobedo;Thiago Monteiro;2;1
houston;Round of 32;Fernando Verdasco;Kevin Anderson;2;0
houston;Round of 32;Feliciano Lopez;Bjorn Fratangelo;2;0
houston;Round of 32;Thiago Monteiro;Donald Young;2;0
houston;Round of 32;Thomaz Bellucci;Frances Tiafoe;2;1
houston;Round of 32;Dustin Brown;Juan Monaco;2;0
houston;Round of 32;Hyeon Chung;Victor Estrella Burgos;2;1
houston;Round of 32;Ernesto Escobedo;Tennys Sandgren;2;0
houston;Round of 32;Maximo Gonzalez;Jared Donaldson;2;1
houston;Round of 32;Tommy Haas;Reilly Opelka;2;1
houston;Round of 32;Nicolas Kicker;Noah Rubin;1;0
houston;Round of 32;Leonardo Mayer;Adam Pavlasek;2;1
houston;Round of 32;Horacio Zeballos;Rogerio Dutra Silva;2;0
houston;2nd Round Qualifying;Leonardo Mayer;Denis Kudla;2;1
houston;2nd Round Qualifying;Maximo Gonzalez;Benjamin Becker;2;0
houston;2nd Round Qualifying;Tennys Sandgren;Teymuraz Gabashvili;2;0
houston;2nd Round Qualifying;Noah Rubin;Bradley Klahn;2;1
houston;1st Round Qualifying;Bradley Klahn;Renzo Olivo;2;1
houston;1st Round Qualifying;Benjamin Becker;Guido Andreozzi;2;0
houston;1st Round Qualifying;Teymuraz Gabashvili;Peter Polansky;2;0
houston;1st Round Qualifying;Denis Kudla;Brian Baker;0;1
houston;1st Round Qualifying;Leonardo Mayer;Tim Smyczek;2;1
houston;1st Round Qualifying;Noah Rubin;Ruben Ramirez Hidalgo;2;0
houston;1st Round Qualifying;Maximo Gonzalez;Dennis Novikov;2;0
houston;1st Round Qualifying;Tennys Sandgren;Steven Diez;2;0
monte-carlo;Finals;Rafael Nadal;Albert Ramos-Vinolas;2;0
monte-carlo;Semi-Finals;Rafael Nadal;David Goffin;2;0
monte-carlo;Semi-Finals;Albert Ramos-Vinolas;Lucas Pouille;2;1
monte-carlo;Quarter-Finals;David Goffin;Novak Djokovic;2;1
monte-carlo;Quarter-Finals;Rafael Nadal;Diego Schwartzman;2;0
monte-carlo;Quarter-Finals;Albert Ramos-Vinolas;Marin Cilic;2;1
monte-carlo;Quarter-Finals;Lucas Pouille;Pablo Cuevas;2;1
monte-carlo;Round of 16;Albert Ramos-Vinolas;Andy Murray;2;1
monte-carlo;Round of 16;Novak Djokovic;Pablo Carreno Busta;2;1
monte-carlo;Round of 16;Pablo Cuevas;Stan Wawrinka;2;0
monte-carlo;Round of 16;Rafael Nadal;Alexander Zverev;2;0
monte-carlo;Round of 16;Marin Cilic;Tomas Berdych;2;0
monte-carlo;Round of 16;David Goffin;Dominic Thiem;2;1
monte-carlo;Round of 16;Lucas Pouille;Adrian Mannarino;1;0
monte-carlo;Round of 16;Diego Schwartzman;Jan-Lennard Struff;2;0
monte-carlo;Round of 32;Andy Murray;Gilles Muller;2;0
monte-carlo;Round of 32;Novak Djokovic;Gilles Simon;2;1
monte-carlo;Round of 32;Stan Wawrinka;Jiri Vesely;2;1
monte-carlo;Round of 32;Rafael Nadal;Kyle Edmund;2;1
monte-carlo;Round of 32;Marin Cilic;Jeremy Chardy;2;0
monte-carlo;Round of 32;Dominic Thiem;Robin Haase;2;0
monte-carlo;Round of 32;Adrian Mannarino;Jo-Wilfried Tsonga;2;1
monte-carlo;Round of 32;Jan-Lennard Struff;Grigor Dimitrov;2;1
monte-carlo;Round of 32;Tomas Berdych;Tommy Haas;2;1
monte-carlo;Round of 32;David Goffin;Nicolas Almagro;2;0
monte-carlo;Round of 32;Lucas Pouille;Paolo Lorenzi;2;0
monte-carlo;Round of 32;Diego Schwartzman;Roberto Bautista Agut;2;0
monte-carlo;Round of 32;Pablo Carreno Busta;Karen Khachanov;2;0
monte-carlo;Round of 32;Alexander Zverev;Feliciano Lopez;2;0
monte-carlo;Round of 32;Albert Ramos-Vinolas;Carlos Berlocq;2;0
monte-carlo;Round of 32;Pablo Cuevas;Joao Sousa;2;0
monte-carlo;Round of 64;Tomas Berdych;Andrey Kuznetsov;2;1
monte-carlo;Round of 64;David Goffin;Steve Darcis;2;0
monte-carlo;Round of 64;Lucas Pouille;Ryan Harrison;2;0
monte-carlo;Round of 64;Roberto Bautista Agut;Nikoloz Basilashvili;2;1
monte-carlo;Round of 64;Pablo Carreno Busta;Fabio Fognini;2;1
monte-carlo;Round of 64;Alexander Zverev;Andreas Seppi;2;0
monte-carlo;Round of 64;Albert Ramos-Vinolas;Renzo Olivo;2;0
monte-carlo;Round of 64;Pablo Cuevas;Viktor Troicki;2;0
monte-carlo;Round of 64;Nicolas Almagro;Martin Klizan;2;1
monte-carlo;Round of 64;Carlos Berlocq;Pierre-Hugues Herbert;2;1
monte-carlo;Round of 64;Jeremy Chardy;Borna Coric;2;1
monte-carlo;Round of 64;Kyle Edmund;Daniel Evans;2;0
monte-carlo;Round of 64;Tommy Haas;Benoit Paire;2;0
monte-carlo;Round of 64;Robin Haase;Damir Dzumhur;2;0
monte-carlo;Round of 64;Karen Khachanov;Nicolas Mahut;2;0
monte-carlo;Round of 64;Feliciano Lopez;Daniil Medvedev;2;0
monte-carlo;Round of 64;Paolo Lorenzi;Marcel Granollers;2;0
monte-carlo;Round of 64;Adrian Mannarino;Guillermo Garcia-Lopez;2;1
monte-carlo;Round of 64;Gilles Muller;Tommy Robredo;2;0
monte-carlo;Round of 64;Diego Schwartzman;Bernard Tomic;2;0
monte-carlo;Round of 64;Gilles Simon;Malek Jaziri;2;0
monte-carlo;Round of 64;Joao Sousa;Florian Mayer;2;0
monte-carlo;Round of 64;Jan-Lennard Struff;Casper Ruud;2;0
monte-carlo;Round of 64;Jiri Vesely;Mischa Zverev;2;0
monte-carlo;2nd Round Qualifying;Adrian Mannarino;Yuichi Sugita;2;0
monte-carlo;2nd Round Qualifying;Jan-Lennard Struff;Pierre-Hugues Herbert;2;0
monte-carlo;2nd Round Qualifying;Martin Klizan;Sergiy Stakhovsky;2;0
monte-carlo;2nd Round Qualifying;Carlos Berlocq;Roberto Carballes Baena;2;0
monte-carlo;2nd Round Qualifying;Guillermo Garcia-Lopez;Damir Dzumhur;2;1
monte-carlo;2nd Round Qualifying;Andrey Kuznetsov;Mikhail Youzhny;2;1
monte-carlo;2nd Round Qualifying;Renzo Olivo;Simone Bolelli;2;1
monte-carlo;1st Round Qualifying;Adrian Mannarino;Lucas Catarina;2;0
monte-carlo;1st Round Qualifying;Jan-Lennard Struff;Paul-Henri Mathieu;2;1
monte-carlo;1st Round Qualifying;Martin Klizan;Evgeny Donskoy;2;1
monte-carlo;1st Round Qualifying;Carlos Berlocq;Andrey Rublev;2;0
monte-carlo;1st Round Qualifying;Damir Dzumhur;Alessandro Giannessi;2;0
monte-carlo;1st Round Qualifying;Andrey Kuznetsov;Julien Benneteau;2;0
monte-carlo;1st Round Qualifying;Simone Bolelli;Mikhail Kukushkin;2;0
monte-carlo;1st Round Qualifying;Pierre-Hugues Herbert;Marius Copil;2;1
monte-carlo;1st Round Qualifying;Roberto Carballes Baena;Radu Albot;2;0
monte-carlo;1st Round Qualifying;Sergiy Stakhovsky;Dusan Lajovic;2;1
monte-carlo;1st Round Qualifying;Mikhail Youzhny;Taro Daniel;2;1
monte-carlo;1st Round Qualifying;Renzo Olivo;Jozef Kovalik;2;1
monte-carlo;1st Round Qualifying;Yuichi Sugita;Hugo Nys;2;1
monte-carlo;1st Round Qualifying;Guillermo Garcia-Lopez;Florent Diep;2;0
barcelona;Finals;Rafael Nadal;Dominic Thiem;2;0
barcelona;Semi-Finals;Dominic Thiem;Andy Murray;2;1
barcelona;Semi-Finals;Rafael Nadal;Horacio Zeballos;2;0
barcelona;Quarter-Finals;Andy Murray;Albert Ramos-Vinolas;2;1
barcelona;Quarter-Finals;Rafael Nadal;Hyeon Chung;2;0
barcelona;Quarter-Finals;Dominic Thiem;Yuichi Sugita;2;0
barcelona;Quarter-Finals;Horacio Zeballos;Karen Khachanov;2;0
barcelona;Round of 16;Andy Murray;Feliciano Lopez;2;0
barcelona;Round of 16;Rafael Nadal;Kevin Anderson;2;0
barcelona;Round of 16;Dominic Thiem;Daniel Evans;2;0
barcelona;Round of 16;Karen Khachanov;David Goffin;2;1
barcelona;Round of 16;Albert Ramos-Vinolas;Roberto Bautista Agut;2;1
barcelona;Round of 16;Yuichi Sugita;Pablo Carreno Busta;2;0
barcelona;Round of 16;Hyeon Chung;Alexander Zverev;2;0
barcelona;Round of 16;Horacio Zeballos;Benoit Paire;2;1
barcelona;Round of 32;Andy Murray;Bernard Tomic;0;0
barcelona;Round of 32;Rafael Nadal;Rogerio Dutra Silva;2;0
barcelona;Round of 32;Dominic Thiem;Kyle Edmund;2;0
barcelona;Round of 32;David Goffin;Nikoloz Basilashvili;2;0
barcelona;Round of 32;Roberto Bautista Agut;Jan-Lennard Struff;2;0
barcelona;Round of 32;Pablo Carreno Busta;Andreas Seppi;2;0
barcelona;Round of 32;Alexander Zverev;Nicolas Almagro;2;1
barcelona;Round of 32;Yuichi Sugita;Richard Gasquet;2;1
barcelona;Round of 32;Albert Ramos-Vinolas;Casper Ruud;2;0
barcelona;Round of 32;Karen Khachanov;Pablo Cuevas;2;0
barcelona;Round of 32;Hyeon Chung;Philipp Kohlschreiber;2;0
barcelona;Round of 32;Kevin Anderson;David Ferrer;2;0
barcelona;Round of 32;Daniel Evans;Mischa Zverev;2;0
barcelona;Round of 32;Horacio Zeballos;Joao Sousa;2;0
barcelona;Round of 32;Feliciano Lopez;Albert Montanes;2;0
barcelona;Round of 32;Benoit Paire;Marcel Granollers;2;0
barcelona;Round of 64;Nicolas Almagro;Steven Diez;2;0
barcelona;Round of 64;Kevin Anderson;Carlos Berlocq;2;1
barcelona;Round of 64;Nikoloz Basilashvili;Taro Daniel;2;0
barcelona;Round of 64;Hyeon Chung;Denis Istomin;2;0
barcelona;Round of 64;Rogerio Dutra Silva;Renzo Olivo;2;0
barcelona;Round of 64;Kyle Edmund;Jeremy Chardy;2;0
barcelona;Round of 64;Daniel Evans;Thiago Monteiro;2;1
barcelona;Round of 64;Marcel Granollers;Malek Jaziri;2;0
barcelona;Round of 64;Karen Khachanov;Thomaz Bellucci;2;0
barcelona;Round of 64;Albert Montanes;Guillermo Garcia-Lopez;2;0
barcelona;Round of 64;Casper Ruud;Radu Albot;2;0
barcelona;Round of 64;Andreas Seppi;Mikael Ymer;2;0
barcelona;Round of 64;Jan-Lennard Struff;Pierre-Hugues Herbert;2;0
barcelona;Round of 64;Yuichi Sugita;Tommy Robredo;2;0
barcelona;Round of 64;Bernard Tomic;Dustin Brown;2;1
barcelona;Round of 64;Horacio Zeballos;Santiago Giraldo;2;0
barcelona;2nd Round Qualifying;Thiago Monteiro;Jordi Samper-Montana;2;1
barcelona;2nd Round Qualifying;Steven Diez;Yuichi Sugita;2;0
barcelona;2nd Round Qualifying;Hyeon Chung;Guido Pella;2;0
barcelona;2nd Round Qualifying;Santiago Giraldo;Alejandro Davidovich Fokina;2;1
barcelona;2nd Round Qualifying;Taro Daniel;Daniel Brands;2;0
barcelona;2nd Round Qualifying;Casper Ruud;Daniel Masur;2;0
barcelona;1st Round Qualifying;Thiago Monteiro;Lukas Rosol;2;1
barcelona;1st Round Qualifying;Yuichi Sugita;Nicola Kuhn;2;0
barcelona;1st Round Qualifying;Hyeon Chung;Ernests Gulbis;2;0
barcelona;1st Round Qualifying;Santiago Giraldo;Enrique Lopez-Perez;2;1
barcelona;1st Round Qualifying;Taro Daniel;Jaume Munar;2;0
barcelona;1st Round Qualifying;Daniel Masur;Andrey Rublev;2;1
barcelona;1st Round Qualifying;Alejandro Davidovich Fokina;Roberto Carballes Baena;2;1
barcelona;1st Round Qualifying;Casper Ruud;Oriol Roca Batalla;2;0
barcelona;1st Round Qualifying;Daniel Brands;Inigo Cervantes;2;1
barcelona;1st Round Qualifying;Jordi Samper-Montana;Kenny De Schepper;0;1
barcelona;1st Round Qualifying;Guido Pella;Marco Trungelliti;2;0
barcelona;1st Round Qualifying;Steven Diez;Uladzimir Ignatik;2;0
madrid;Finals;Rafael Nadal;Dominic Thiem;2;0
madrid;Semi-Finals;Rafael Nadal;Novak Djokovic;2;0
madrid;Semi-Finals;Dominic Thiem;Pablo Cuevas;2;0
madrid;Quarter-Finals;Novak Djokovic;Kei Nishikori;0;0
madrid;Quarter-Finals;Rafael Nadal;David Goffin;2;0
madrid;Quarter-Finals;Dominic Thiem;Borna Coric;2;0
madrid;Quarter-Finals;Pablo Cuevas;Alexander Zverev;2;1
madrid;Round of 16;Borna Coric;Andy Murray;2;0
madrid;Round of 16;Novak Djokovic;Feliciano Lopez;2;0
madrid;Round of 16;Rafael Nadal;Nick Kyrgios;2;0
madrid;Round of 16;David Goffin;Milos Raonic;2;0
madrid;Round of 16;Kei Nishikori;David Ferrer;2;0
madrid;Round of 16;Dominic Thiem;Grigor Dimitrov;2;1
madrid;Round of 16;Alexander Zverev;Tomas Berdych;2;0
madrid;Round of 16;Pablo Cuevas;Benoit Paire;2;1
madrid;Round of 32;Andy Murray;Marius Copil;2;0
madrid;Round of 32;Novak Djokovic;Nicolas Almagro;2;1
madrid;Round of 32;Benoit Paire;Stan Wawrinka;2;1
madrid;Round of 32;Rafael Nadal;Fabio Fognini;2;1
madrid;Round of 32;Milos Raonic;Gilles Muller;2;0
madrid;Round of 32;Kei Nishikori;Diego Schwartzman;2;1
madrid;Round of 32;Alexander Zverev;Marin Cilic;2;1
madrid;Round of 32;Dominic Thiem;Jared Donaldson;2;0
madrid;Round of 32;David Goffin;Florian Mayer;2;0
madrid;Round of 32;David Ferrer;Jo-Wilfried Tsonga;0;0
madrid;Round of 32;Tomas Berdych;Robin Haase;2;0
madrid;Round of 32;Grigor Dimitrov;Ivo Karlovic;2;0
madrid;Round of 32;Nick Kyrgios;Ryan Harrison;2;0
madrid;Round of 32;Borna Coric;Pierre-Hugues Herbert;2;0
madrid;Round of 32;Pablo Cuevas;Nicolas Mahut;2;1
madrid;Round of 32;Feliciano Lopez;Gilles Simon;2;1
madrid;Round of 64;David Goffin;Karen Khachanov;2;0
madrid;Round of 64;Jo-Wilfried Tsonga;Andrey Kuznetsov;2;1
madrid;Round of 64;Tomas Berdych;Denis Istomin;2;0
madrid;Round of 64;Grigor Dimitrov;Philipp Kohlschreiber;2;0
madrid;Round of 64;Pierre-Hugues Herbert;Lucas Pouille;2;1
madrid;Round of 64;Nicolas Mahut;Jack Sock;2;1
madrid;Round of 64;Gilles Simon;Gael Monfils;2;1
madrid;Round of 64;Nick Kyrgios;Marcos Baghdatis;2;0
madrid;Round of 64;Nicolas Almagro;Tommy Robredo;2;1
madrid;Round of 64;Marius Copil;Guillermo Garcia-Lopez;2;1
madrid;Round of 64;Borna Coric;Mischa Zverev;2;0
madrid;Round of 64;Pablo Cuevas;Thomaz Bellucci;2;1
madrid;Round of 64;Jared Donaldson;Adrian Mannarino;2;0
madrid;Round of 64;David Ferrer;Mikhail Kukushkin;2;1
madrid;Round of 64;Fabio Fognini;Joao Sousa;2;0
madrid;Round of 64;Robin Haase;Daniel Evans;2;0
madrid;Round of 64;Ryan Harrison;Bernard Tomic;2;1
madrid;Round of 64;Ivo Karlovic;Roberto Bautista Agut;2;1
madrid;Round of 64;Feliciano Lopez;Ernesto Escobedo;2;0
madrid;Round of 64;Florian Mayer;Marcel Granollers;2;0
madrid;Round of 64;Gilles Muller;Tommy Haas;2;0
madrid;Round of 64;Benoit Paire;Pablo Carreno Busta;2;0
madrid;Round of 64;Diego Schwartzman;Albert Ramos-Vinolas;2;0
madrid;Round of 64;Alexander Zverev;Fernando Verdasco;2;0
madrid;2nd Round Qualifying;Adrian Mannarino;Santiago Giraldo;2;0
madrid;2nd Round Qualifying;Mikhail Kukushkin;Borna Coric;2;0
madrid;2nd Round Qualifying;Thomaz Bellucci;Mikhail Youzhny;2;0
madrid;2nd Round Qualifying;Pierre-Hugues Herbert;Andreas Seppi;2;0
madrid;2nd Round Qualifying;Denis Istomin;Jared Donaldson;2;0
madrid;2nd Round Qualifying;Andrey Kuznetsov;Lukas Lacko;2;0
madrid;2nd Round Qualifying;Ernesto Escobedo;Nicola Kuhn;2;0
madrid;1st Round Qualifying;Adrian Mannarino;Jaume Munar;2;1
madrid;1st Round Qualifying;Borna Coric;Enrique Lopez-Perez;2;1
madrid;1st Round Qualifying;Thomaz Bellucci;Evgeny Donskoy;2;0
madrid;1st Round Qualifying;Nicola Kuhn;Nikoloz Basilashvili;2;0
madrid;1st Round Qualifying;Andreas Seppi;Carlos Taberner;2;0
madrid;1st Round Qualifying;Denis Istomin;Inigo Cervantes;2;0
madrid;1st Round Qualifying;Andrey Kuznetsov;Casper Ruud;2;0
madrid;1st Round Qualifying;Mikhail Kukushkin;Daniel Munoz de la Nava;2;1
madrid;1st Round Qualifying;Jared Donaldson;Victor Estrella Burgos;2;0
madrid;1st Round Qualifying;Santiago Giraldo;Thiago Monteiro;2;1
